Review,Sentiment
Еда была вкусной, а доставка быстрой,положительный
Очень плохой сервис и холодная еда,отрицательный
Цена нормальная, но доставка немного задержалась,нейтральный
Мне понравилось качество и чистая упаковка,положительный
Курьер был грубым, заказ привезли поздно,отрицательный
Обслуживание было обычным, ничего особенного,нейтральный
Отличный вкус и вежливый персонал,положительный
Еда слишком дорогая для такого качества,отрицательный
Чистое место и хорошее обслуживание,положительный
Доставка была приемлемой, но еда средняя,нейтральный
Я очень доволен заказом,положительный
Качество продукта было плохим, я разочарован,отрицательный
Время доставки было нормальным,нейтральный
Отличный сервис и свежая еда,положительный
Заказ приехал поздно и был неполным,отрицательный
